STATE_UT_NAME,DISTRICT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
KARNATAKA,BANGALORE RUR,1.7,5.8,7.6,36.2,93.1,71.2,91.7,118.1,170.9,171.8,55.4,13.5,837,7.5,136.9,451.9,240.7
KARNATAKA,BANGALORE URB,2.3,6.7,8.2,39.2,106.3,73.9,91.6,128.9,181.3,159.7,53.9,18,870,9,153.7,475.7,231.6
DELHI,CENTRAL DELHI,16.4,16.3,15.3,8.9,19.3,59.8,220.7,245.5,110.2,20.5,5.6,8.6,747.1,32.7,43.5,636.2,34.7
TAMIL NADU,CHENNAI,22.1,14.6,3,12,43.5,64.1,108.6,147.9,118.5,266.5,367.8,155.6,1324.2,36.7,58.5,439.1,789.9
RAJASTHAN,JODHPUR,2.9,3.1,2.7,5.2,11.1,27.9,109.5,94.6,42.5,4.9,2.7,1,308.1,6,19,274.5,8.6
ORISSA,KHURDA,10.1,25.9,26.9,30.9,68,186.4,310.8,339.3,251.5,167.7,45.5,6.5,1469.5,36,125.8,1088,219.7
UTTAR PRADESH,LUCKNOW,18.1,12.3,7.3,4.1,12.2,85.9,254.6,262.2,169.8,47.9,4.1,6.8,885.3,30.4,23.6,772.5,58.8
MAHARASHTRA,MUMBAI CITY,1,1,0.4,1,18,539,785.4,508.7,309.3,77.1,12.3,4.3,2257.5,2,19.4,2142.4,93.7
MAHARASHTRA,MUMBAI SUB,1,1,0.4,1,18,539,785.4,508.7,309.3,77.1,12.3,4.3,2257.5,2,19.4,2142.4,93.7
DELHI,NE DELHI,16.4,16.3,15.3,8.9,19.3,59.8,220.7,245.5,110.2,20.5,5.6,8.6,747.1,32.7,43.5,636.2,34.7
DELHI,NEW DELHI,16.4,16.3,15.3,8.9,19.3,59.8,220.7,245.5,110.2,20.5,5.6,8.6,747.1,32.7,43.5,636.2,34.7
ORISSA,SUNDARGARH,19.3,16.3,18,14.4,39.6,216.9,368.3,373.2,217.5,50.4,8.8,5.1,1347.8,35.6,72,1175.9,64.3
